Wuhan/WH01/2019	-0.00
Wuhan/Hu-1/2019	-2.10
Nepal/61/2020	-3.20
USA/WY-UNM-00131/2020	-4.30
USA/NC-UNC-LCCC0036/2020	-4.44
Mexico/QUE-InDRE-18/2020	-5.50
USA/WA1/2020	-5.60
Guatemala/CDC-1233/2020	-6.70
Guadeloupe/IPG-7331/2020	-6.80
USA/UT-032/2020	-6.94
Panama/329877/2020	-7.25
DominicanRepublic/ICGEB_UNIBE022/2020	-7.78
USA/WA-S92/2020	-8.20
SaintBarthelemy/IPG-7329/2020	-8.30
Guadeloupe/IPG-7330/2020	-8.40
England/02/2020	-8.50
Guatemala/CDC-1229/2020	-8.60
USA/MO-QDX-674/2020	-8.70
SaintMartin/IPG-7354/2020	-8.80
Guam/GU_NHG_02/2020	-8.90
India/MH-1-27/2020	-9.00
Denmark/SSI-02/2020	-9.10
USA/IL-QDX-284/2020	-9.20
Panama/329117/2020	-9.30
UnitedArabEmirates/skmc-920168117/2020	-10.29
Canada/QC-JUS-V5290516/2020	-10.50
USA/NY-UW-5500804/2020	-10.60
USA/HI-H200055/2020	-10.70
Taiwan/TSGH-23/2020	-10.80
Bahamas/33821/2020	-10.90
India/MH-1-31/2020	-11.00
Canada/QC-L00246250/2020	-11.10
Guadeloupe/IPG-7340/2020	-11.20
USA/AR-QDX-377/2020	-11.30
Mexico/ROO-IBT-IMSS-435/2020	-11.40
Moldova/ChVir7771/2020	-11.50
Bahamas/33820/2020	-11.60
Canada/ON-S945/2020	-11.70
Mexico/BCS-IBT-IMSS-13/2020	-11.80
USA/LA-ALSR-0071-NBG/2020	-11.90
Canada/NB_56/2020	-12.00
Mexico/TAM-InDRE_382/2020	-12.10
USA/PA-CDC-8397/2020	-12.20
Panama/332629/2020	-12.30
USA/AL-UW-MAYO12/2020	-12.66
Mexico/SLP-InDRE-IBT-41/2020	-12.83
USA/ND-NDDH-0016/2020	-13.32
USA/SD-SDPHL-0426/2020	-13.50
USA/CO-CDPHE-2003290003/2020	-13.69
Guadeloupe/IPG-7341/2020	-13.90
USA/IN-Lilly-IPB0173-10bc07/2020	-14.00
Mexico/CMX-InDRE-07/2020	-14.10
Moldova/ChVir7770/2020	-14.20
USA/VT-21-030609-CR-01/2020	-14.30
CostaRica/INC-0034/2020	-14.40
CostaRica/02/2020	-14.50
USA/DE-DHSS-F917974/2020	-14.60
Panama/GMI-PA338765/2020	-14.70
USA/WY-WYPHL-20011618/2020	-14.80
Gabon/ITM-K023/2020	-14.90
Mexico/CMX-InDRE-01/2020	-15.00
Canada/ON_QGLO-038/2020	-15.10
Panama/GMI-PA238/2020	-15.20
USA/HI-H200037/2020	-15.30
Canada/AB-97354/2020	-15.40
USA/WA-S90/2020	-15.50
